Date,Crush margin
1/7/2010,0.99
1/14/2010,0.91
1/21/2010,0.93
2/4/2010,0.92
2/11/2010,0.87
2/18/2010,0.8
2/25/2010,0.74
3/4/2010,0.51
3/11/2010,0.57
3/18/2010,0.56
3/25/2010,0.65
4/1/2010,0.63
4/8/2010,0.7
4/15/2010,0.79
4/22/2010,0.73
5/6/2010,0.77
5/13/2010,0.73
5/20/2010,0.63
5/27/2010,0.57
6/3/2010,0.7
6/10/2010,0.85
6/17/2010,0.85
6/24/2010,0.76
7/1/2010,0.82
7/8/2010,0.73
7/15/2010,0.7
7/22/2010,0.64
7/29/2010,0.76
8/5/2010,0.73
8/12/2010,0.66
8/19/2010,0.9
8/26/2010,0.88
9/2/2010,1.01
9/9/2010,0.88
9/16/2010,0.68
9/23/2010,0.44
9/30/2010,0.39
10/7/2010,0.54
10/14/2010,0.54
10/21/2010,0.42
10/28/2010,0.4
11/4/2010,0.26
11/11/2010,0.25
11/18/2010,0.19
12/2/2010,0.31
12/9/2010,0.38
12/16/2010,0.37
12/23/2010,0.44
12/30/2010,0.46
1/6/2011,0.61
1/13/2011,0.55
1/20/2011,0.51
1/27/2011,0.42
2/3/2011,0.31
2/10/2011,0.3
2/17/2011,0.3
2/24/2011,0.26
3/3/2011,0.35
3/10/2011,0.27
3/17/2011,0.33
3/24/2011,0.31
3/31/2011,0.38
4/7/2011,0.36
4/14/2011,0.32
4/21/2011,0.31
4/28/2011,0.16
5/5/2011,0.46
5/12/2011,0.42
5/19/2011,0.32
5/26/2011,0.44
6/2/2011,0.39
6/9/2011,0.42
6/16/2011,0.37
6/23/2011,0.26
6/30/2011,0.16
7/7/2011,0.31
7/14/2011,0.13
7/21/2011,0.25
7/28/2011,0.21
8/4/2011,0.23
8/11/2011,0.23
8/18/2011,0.18
8/25/2011,0.26
9/1/2011,0.4
9/8/2011,0.29
9/15/2011,0.44
9/22/2011,0.6
9/29/2011,0.96
10/6/2011,0.58
10/13/2011,0.5
10/20/2011,0.57
10/27/2011,0.65
11/3/2011,0.51
11/10/2011,0.61
11/17/2011,0.61
11/24/2011,0.55
12/1/2011,0.62
12/8/2011,0.52
12/15/2011,0.62
12/22/2011,0.67
12/29/2011,0.69
1/5/2012,0.76
1/12/2012,0.76
1/19/2012,0.74
1/26/2012,0.83
2/2/2012,0.81
2/9/2012,0.77
2/16/2012,0.71
2/23/2012,0.85
3/1/2012,1.07
3/8/2012,1.24
3/15/2012,1.27
3/22/2012,1.22
3/29/2012,1.22
4/5/2012,1.17
4/12/2012,1.16
4/19/2012,1.17
4/26/2012,1.38
5/3/2012,1.43
5/10/2012,1.55
5/17/2012,1.5
5/24/2012,1.56
5/31/2012,1.46
6/7/2012,1.42
6/14/2012,1.38
6/21/2012,1.3
6/28/2012,1.18
7/5/2012,1.36
7/12/2012,1.16
7/19/2012,1.36
7/26/2012,1.91
8/2/2012,2.11
8/9/2012,2.42
8/16/2012,2.47
8/23/2012,2.14
8/30/2012,2.15
9/6/2012,2.2
9/13/2012,2.03
9/20/2012,1.81
9/27/2012,1.84
10/4/2012,1.84
10/11/2012,1.96
10/18/2012,1.94
10/25/2012,2.06
11/1/2012,2
11/8/2012,1.79
11/15/2012,1.77
11/29/2012,1.65
12/6/2012,1.79
12/13/2012,1.75
12/27/2012,1.6
1/10/2013,1.42
1/17/2013,1.32
1/24/2013,1.4
1/31/2013,1.47
2/7/2013,1.41
2/14/2013,1.3
2/21/2013,1.26
2/28/2013,1.15
3/7/2013,1.12
3/14/2013,1.13
3/21/2013,1.24
4/4/2013,1.07
4/11/2013,0.98
4/18/2013,1.34
4/25/2013,1.46
5/9/2013,1.44
5/16/2013,1.26
5/23/2013,1.68
5/30/2013,1.56
6/6/2013,1.57
6/13/2013,1.65
6/20/2013,1.59
6/27/2013,1.71
7/11/2013,2.79
7/18/2013,2.93
7/25/2013,3.67
8/1/2013,2.29
8/8/2013,1.63
8/15/2013,1.31
8/22/2013,1.19
8/29/2013,2.51
9/5/2013,2.7
9/12/2013,3.01
9/19/2013,2.37
9/26/2013,2.26
10/24/2013,2.34
10/31/2013,2.09
11/14/2013,2.21
11/28/2013,2.68
12/5/2013,2.68
12/12/2013,2.74
12/19/2013,2.89
12/26/2013,2.88
1/2/2014,2.59
1/9/2014,2.41
1/16/2014,2.35
1/23/2014,2.43
1/30/2014,2.53
2/6/2014,2.53
2/13/2014,2.8
2/20/2014,2.76
2/27/2014,2.73
3/6/2014,2.2
3/13/2014,2.13
3/20/2014,2.05
3/27/2014,1.96
4/3/2014,2
4/10/2014,2
4/17/2014,1.93
4/24/2014,2.04
5/1/2014,1.91
5/8/2014,1.93
5/15/2014,1.82
5/22/2014,1.78
5/29/2014,1.69
6/5/2014,1.97
6/12/2014,1.98
6/19/2014,1.65
6/26/2014,1.86
7/3/2014,1.97
7/10/2014,2.29
7/17/2014,1.89
7/24/2014,1.96
7/31/2014,2.02
8/7/2014,2.01
8/14/2014,1.8
8/21/2014,3.58
8/28/2014,5.3
9/4/2014,5.39
9/11/2014,6.11
9/18/2014,5.49
9/25/2014,3.95
10/2/2014,3.01
10/9/2014,3.16
10/16/2014,3.02
10/23/2014,3.47
10/30/2014,4.15
11/6/2014,4.27
11/13/2014,4.21
11/20/2014,3.71
11/27/2014,4.21
12/4/2014,3.77
12/11/2014,3.85
12/18/2014,3.4
12/25/2014,3.52
1/1/2015,3.41
1/8/2015,3.04
1/15/2015,2.34
1/22/2015,2.44
1/29/2015,2.42
2/5/2015,2.34
2/12/2015,2.31
2/19/2015,2.42
2/26/2015,2.39
3/5/2015,2.28
3/12/2015,2.21
3/19/2015,2.14
3/26/2015,2.05
4/2/2015,1.95
4/9/2015,1.74
4/16/2015,1.68
4/23/2015,1.69
4/30/2015,1.64
5/7/2015,1.58
5/14/2015,1.51
5/21/2015,1.66
5/28/2015,1.69
6/4/2015,1.77
6/11/2015,1.99
6/18/2015,1.87
6/25/2015,2.06
7/2/2015,2.1
7/9/2015,2.07
7/16/2015,2.25
7/23/2015,2.12
7/30/2015,2.25
8/6/2015,2.15
8/13/2015,1.95
8/20/2015,2.08
8/27/2015,2.28
9/3/2015,2.23
9/10/2015,2.04
9/17/2015,1.97
9/24/2015,2.14
10/1/2015,2.01
10/8/2015,2.18
10/15/2015,2.07
10/22/2015,1.9
10/29/2015,1.74
11/5/2015,1.68
11/12/2015,1.47
11/19/2015,1.38
11/26/2015,1.37
12/3/2015,1.44
12/10/2015,1.29
12/17/2015,1.16
12/24/2015,1.16
12/31/2015,1.11
1/7/2016,0.99
1/14/2016,0.98
1/21/2016,0.98
1/28/2016,1.04
2/4/2016,1.12
2/11/2016,1.07
2/18/2016,1
2/25/2016,1.04
3/3/2016,0.97
3/17/2016,0.99
3/24/2016,1.07
3/31/2016,1.11
4/7/2016,1.16
4/14/2016,1.23
4/21/2016,1.43
4/28/2016,1.44
5/5/2016,1.66
5/12/2016,1.76
5/19/2016,2
5/26/2016,2.47
6/2/2016,2.14
6/9/2016,1.81
6/16/2016,1.57
6/23/2016,1.32
6/30/2016,1.35
7/7/2016,1.51
7/14/2016,1.55
7/21/2016,1.55
7/28/2016,1.55
8/4/2016,1.36
8/11/2016,1.17
8/18/2016,1.21
8/25/2016,1.34
9/1/2016,1.34
9/8/2016,1.38
9/15/2016,1.73
9/22/2016,1.9
9/29/2016,2.07
10/6/2016,2.02
10/13/2016,1.91
10/20/2016,2.09
10/27/2016,2.02
11/3/2016,2.11
11/10/2016,1.68
11/17/2016,1.6
11/24/2016,1.49
12/1/2016,1.48
12/8/2016,1.47
12/15/2016,1.57
12/22/2016,1.53
12/29/2016,1.46
1/5/2017,1.44
1/12/2017,1.39
1/19/2017,1.54
1/26/2017,1.36
2/2/2017,1.36
2/9/2017,1.35
2/16/2017,1.32
2/23/2017,1.22
3/2/2017,1.31
3/9/2017,1.28
3/16/2017,1.28
3/23/2017,1.27
3/30/2017,1.15
4/6/2017,1.23
4/13/2017,1.24
4/20/2017,1.23
4/27/2017,1.34
5/4/2017,1.35
5/11/2017,1.26
5/18/2017,1.32
5/25/2017,1.25
6/1/2017,1.25
6/8/2017,1.4
6/15/2017,1.47
6/22/2017,1.48
6/29/2017,1.5
7/6/2017,1.51
7/13/2017,1.61
7/20/2017,1.51
7/27/2017,1.61
8/3/2017,1.61
8/10/2017,1.47
8/17/2017,1.6
8/24/2017,1.51
8/31/2017,1.56
9/7/2017,1.53
9/14/2017,1.59
9/21/2017,1.62
9/28/2017,1.7
10/5/2017,1.79
10/12/2017,1.64
10/19/2017,1.68
10/26/2017,1.65
11/2/2017,1.57
11/9/2017,1.56
11/16/2017,1.53
11/23/2017,1.56
11/30/2017,1.63
12/7/2017,1.74
12/14/2017,1.66
12/21/2017,1.6
12/28/2017,1.59
1/4/2018,1.44
1/11/2018,1.39
1/18/2018,1.54
1/25/2018,1.52
2/1/2018,1.36
2/8/2018,1.68
2/15/2018,2.25
2/22/2018,2.26
3/1/2018,2.44
3/8/2018,2.21
3/15/2018,2.18
3/22/2018,2.22
3/29/2018,2.41
4/5/2018,2.43
4/12/2018,2.19
4/19/2018,2.09
4/26/2018,2.3
5/3/2018,2.58
5/10/2018,2.72
5/17/2018,2.67
5/24/2018,2.39
5/31/2018,2.33
6/7/2018,2.39
6/14/2018,2.42
6/21/2018,2.53
6/28/2018,2.68
7/5/2018,2.71
7/12/2018,2.82
7/19/2018,2.64
7/26/2018,2.61
8/2/2018,2.52
8/9/2018,2.48
8/16/2018,2.66
8/23/2018,2.71
8/30/2018,2.71
9/6/2018,2.9
9/13/2018,2.97
9/20/2018,2.79
9/27/2018,2.8
10/4/2018,2.82
10/11/2018,2.82
10/18/2018,2.71
10/25/2018,2.55
11/1/2018,2.42
11/8/2018,2.08
11/15/2018,1.93
11/22/2018,2.01
11/29/2018,1.88
12/6/2018,1.87
12/13/2018,1.89
12/20/2018,1.81
12/27/2018,1.91
1/3/2019,1.65
1/10/2019,1.96
1/17/2019,1.91
1/24/2019,1.66
1/31/2019,1.68
2/7/2019,1.78
2/14/2019,2.25
2/21/2019,2.26
2/28/2019,2.44
3/7/2019,1.83
3/14/2019,1.95
3/21/2019,1.84
3/28/2019,1.83
4/4/2019,1.82
4/11/2019,1.79
4/18/2019,1.83
4/25/2019,1.86
5/2/2019,1.8
5/9/2019,1.92
5/16/2019,2.07
5/23/2019,2.12
5/30/2019,2.36
6/6/2019,2.19
6/13/2019,2.26
6/20/2019,2.07
6/27/2019,1.95
7/4/2019,1.64
7/11/2019,1.55
7/18/2019,1.61
7/25/2019,1.61
8/1/2019,1.76
8/8/2019,1.76
8/15/2019,1.78
8/22/2019,1.73
8/29/2019,1.66
9/5/2019,1.79
9/12/2019,1.73
9/19/2019,1.7
9/26/2019,1.58
10/3/2019,1.78
10/10/2019,1.8
10/17/2019,1.7
10/24/2019,1.67
10/31/2019,1.67
11/7/2019,1.6
11/14/2019,1.53
11/21/2019,1.54
11/27/2019,1.5
11/28/2019,1.5
12/5/2019,1.62
12/12/2019,1.51
12/19/2019,1.55
12/25/2019,1.53
12/26/2019,1.53
1/2/2020,1.68
1/9/2020,1.96
1/16/2020,1.91
1/23/2020,1.82
1/30/2020,1.87
2/6/2020,1.78
2/13/2020,1.8
2/20/2020,1.83
2/27/2020,1.53
3/2/2020,1.83
3/5/2020,1.83
3/12/2020,1.95
3/19/2020,1.84
3/26/2020,1.78
4/2/2020,1.64
4/9/2020,1.34
4/16/2020,1.44
4/23/2020,1.24
4/30/2020,1.29
5/7/2020,1.18
5/14/2020,1.25
5/21/2020,1.25
5/28/2020,1.19
6/4/2020,1.2
6/11/2020,1.14
6/18/2020,1.1
6/25/2020,1.07
7/2/2020,1.17
7/9/2020,1.18
7/16/2020,1.32
7/23/2020,1.26
7/30/2020,1.44
8/6/2020,1.56
8/13/2020,1.53
8/20/2020,1.46
8/27/2020,1.53
9/3/2020,1.53
9/10/2020,1.38
9/17/2020,1.53
9/24/2020,1.56
10/1/2020,1.8
10/8/2020,1.88
10/15/2020,2.13
10/22/2020,2.21
10/29/2020,2.2
11/5/2020,2.32
11/12/2020,1.99
11/19/2020,2
11/26/2020,1.99
12/3/2020,1.69
12/10/2020,1.69
12/16/2020,1.95
12/17/2020,1.95
12/23/2020,2.08
12/24/2020,2.08
12/31/2020,2.04
1/7/2021,1.64
1/14/2021,1.34
1/21/2021,1.63
1/28/2021,1.68
2/4/2021,1.67
2/11/2021,1.74
2/18/2021,2.01
2/22/2021,2.01
2/25/2021,1.57
3/4/2021,1.78
3/11/2021,1.7
3/18/2021,2
3/25/2021,2.05
4/1/2021,1.89
4/8/2021,1.91
4/15/2021,1.88
4/22/2021,2.12
4/29/2021,2.58
5/6/2021,2.41
5/13/2021,2.49
5/20/2021,2.69
5/27/2021,2.91
6/3/2021,3.03
6/10/2021,2.72
6/17/2021,2.92
6/24/2021,2.81
7/1/2021,2.69
7/8/2021,3.12
7/15/2021,2.82
