Year,State,Commodity,Data Item,Number of Acres
2020,US TOTAL,BARLEY,"BARLEY - YIELD, MEASURED IN BU / ACRE",77.5
2020,US TOTAL,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - YIELD, MEASURED IN LB / ACRE","1,966"
2020,US TOTAL,CANOLA,"CANOLA - YIELD, MEASURED IN LB / ACRE","1,931"
2020,US TOTAL,CHICKPEAS,"CHICKPEAS - YIELD, MEASURED IN LB / ACRE","1,625"
2020,US TOTAL,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",172
2020,US TOTAL,COTTON,"COTTON - YIELD, MEASURED IN LB / ACRE",847
2020,US TOTAL,FLAXSEED,"FLAXSEED - YIELD, MEASURED IN BU / ACRE",19.3
2020,US TOTAL,HAY & HAYLAGE,"HAY & HAYLAGE - YIELD, MEASURED IN TONS / ACRE, DRY BASIS",2.66
2020,US TOTAL,HOPS,"HOPS - YIELD, MEASURED IN LB / ACRE","1,770"
2020,US TOTAL,LENTILS,"LENTILS - YIELD, MEASURED IN LB / ACRE","1,442"
2020,US TOTAL,MAPLE SYRUP,"MAPLE SYRUP - YIELD, MEASURED IN GALLONS / TAP",0.324
2020,US TOTAL,MILLET,"MILLET, PROSO - YIELD, MEASURED IN BU / ACRE",19
2020,US TOTAL,MINT,"MINT, PEPPERMINT, OIL - YIELD, MEASURED IN LB / ACRE",99
2020,US TOTAL,MUSTARD,"MUSTARD - YIELD, MEASURED IN LB / ACRE",895
2020,US TOTAL,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",65.1
2020,US TOTAL,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE","3,796"
2020,US TOTAL,PEAS,"PEAS, DRY EDIBLE - YIELD, MEASURED IN LB / ACRE","2,234"
2020,US TOTAL,RAPESEED,"RAPESEED - YIELD, MEASURED IN LB / ACRE","1,971"
2020,US TOTAL,RICE,"RICE - YIELD, MEASURED IN LB / ACRE","7,619"
2020,US TOTAL,RYE,"RYE - YIELD, MEASURED IN BU / ACRE",34.9
2020,US TOTAL,SAFFLOWER,"SAFFLOWER - YIELD, MEASURED IN LB / ACRE","1,167"
2020,US TOTAL,SORGHUM,"SORGHUM, GRAIN - YIELD, MEASURED IN BU / ACRE",73.2
2020,US TOTAL,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",50.2
2020,US TOTAL,SUGARBEETS,"SUGARBEETS - YIELD, MEASURED IN TONS / ACRE",29.4
2020,US TOTAL,SUGARCANE,"SUGARCANE, SUGAR & SEED - YIELD, MEASURED IN TONS / ACRE",38.1
2020,US TOTAL,SUNFLOWER,"SUNFLOWER - YIELD, MEASURED IN LB / ACRE","1,790"
2020,US TOTAL,TOBACCO,"TOBACCO - YIELD, MEASURED IN LB / ACRE","1,966"
2020,US TOTAL,WHEAT,"WHEAT - YIELD, MEASURED IN BU / ACRE",49.7
