Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,ALCOHOL COPRODUCTS,"ALCOHOL COPRODUCTS, CORN DISTILLERS OIL (CDO) - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"1,708,687",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,ALCOHOL COPRODUCTS,"ALCOHOL COPRODUCTS, CORN GERM MEAL - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"697,251",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,ALCOHOL COPRODUCTS,"ALCOHOL COPRODUCTS, CORN GLUTEN FEED, MEDIUM PROTEIN, FROM BRAN & STEEP WATER - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"3,445,892",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,ALCOHOL COPRODUCTS,"ALCOHOL COPRODUCTS, CORN GLUTEN FEED, WET, 40 - 60 PCT MOISTURE - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"2,601,936",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,ALCOHOL COPRODUCTS,"ALCOHOL COPRODUCTS, CORN GLUTEN MEAL, HIGH PROTEIN CONCENTRATE - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"1,128,108",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,ALCOHOL COPRODUCTS,"ALCOHOL COPRODUCTS, DISTILLERS GRAINS, DRIED, (EXCL SOLUBLES) - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"3,786,140",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,ALCOHOL COPRODUCTS,"ALCOHOL COPRODUCTS, DISTILLERS GRAINS, DRIED, INCL SOLUBLES - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"20,163,317",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,ALCOHOL COPRODUCTS,"ALCOHOL COPRODUCTS, DISTILLERS GRAINS, WET, 40 - 64 PCT MOISTURE - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"4,652,318",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,ALCOHOL COPRODUCTS,"ALCOHOL COPRODUCTS, DISTILLERS GRAINS, WET, GE 65 PCT MOISTURE - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"12,391,367",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,ALCOHOL COPRODUCTS,"ALCOHOL COPRODUCTS, DISTILLERS SOLUBLES, CONDENSED (SYRUP) - PRODUCTION, MEASURED IN TONS",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"1,059,380",
