Date,Soy oil
1/1/2010,37.18
1/4/2010,37.73
1/5/2010,37.54
1/6/2010,37.7
1/7/2010,36.62
1/8/2010,36.49
1/11/2010,36.18
1/12/2010,35.26
1/13/2010,35.64
1/14/2010,35.28
1/15/2010,34.28
1/18/2010,34.28
1/19/2010,33.9
1/20/2010,33.32
1/21/2010,33.75
1/22/2010,33.46
1/25/2010,33.25
1/26/2010,33.52
1/27/2010,33.07
1/28/2010,32.9
1/29/2010,32.9
2/1/2010,32.94
2/2/2010,34.22
2/3/2010,33.4
2/4/2010,33.71
2/5/2010,33.5
2/8/2010,34.45
2/9/2010,34.88
2/10/2010,34.77
2/11/2010,34.64
2/12/2010,34.34
2/15/2010,34.34
2/16/2010,35.45
2/17/2010,35.25
2/18/2010,35.2
2/19/2010,35.02
2/22/2010,35.33
2/23/2010,34.81
2/24/2010,35.8
2/25/2010,35.28
2/26/2010,36.04
3/1/2010,36.25
3/2/2010,36.56
3/3/2010,36.77
3/4/2010,36.38
3/5/2010,36.47
3/8/2010,36.7
3/9/2010,36.72
3/10/2010,37.77
3/11/2010,36.86
3/12/2010,36.3
3/15/2010,35.5
3/16/2010,36.12
3/17/2010,36.71
3/18/2010,36.13
3/19/2010,36.3
3/22/2010,36.72
3/23/2010,36.54
3/24/2010,36.21
3/25/2010,35.95
3/26/2010,36.2
3/29/2010,36.52
3/30/2010,35.82
3/31/2010,35.56
4/1/2010,36.36
4/2/2010,36.36
4/5/2010,36.85
4/6/2010,37.27
4/7/2010,37.66
4/8/2010,37.55
4/9/2010,37.67
4/12/2010,37.44
4/13/2010,37.59
4/14/2010,37.71
4/15/2010,37.92
4/16/2010,37.65
4/19/2010,36.78
4/20/2010,36.92
4/21/2010,36.75
4/22/2010,36.89
4/23/2010,37.15
4/26/2010,37.09
4/27/2010,36.92
4/28/2010,36.29
4/29/2010,36.55
4/30/2010,36.33
5/3/2010,36.4
5/4/2010,36.11
5/5/2010,36.68
5/6/2010,35.87
5/7/2010,36.19
5/10/2010,36.14
5/11/2010,36.07
5/12/2010,36.18
5/13/2010,35.8
5/14/2010,35.26
5/17/2010,34.88
5/18/2010,34.94
5/19/2010,34.75
5/20/2010,34.64
5/21/2010,34.21
5/24/2010,34.77
5/25/2010,34.42
5/26/2010,34.85
5/27/2010,35.26
5/28/2010,34.69
5/31/2010,34.69
6/1/2010,34.6
6/2/2010,34.5
6/3/2010,34.74
6/4/2010,33.86
6/7/2010,33.55
6/8/2010,33.75
6/9/2010,33.95
6/10/2010,33.95
6/11/2010,34.1
6/14/2010,34.59
6/15/2010,35.01
6/16/2010,35.46
6/17/2010,35.38
6/18/2010,35.25
6/21/2010,35.38
6/22/2010,35.26
6/23/2010,34.92
6/24/2010,34.5
6/25/2010,34.49
6/28/2010,34.27
6/29/2010,33.26
6/30/2010,33.61
7/1/2010,33.12
7/2/2010,33.26
7/5/2010,33.26
7/6/2010,33.09
7/7/2010,33.94
7/8/2010,33.99
7/9/2010,34.51
7/12/2010,34.63
7/13/2010,35.05
7/14/2010,35.24
7/15/2010,35.72
7/16/2010,35.44
7/19/2010,35.09
7/20/2010,35.45
7/21/2010,35.31
7/22/2010,35.95
7/23/2010,36.12
7/26/2010,35.85
7/27/2010,35.61
7/28/2010,35.89
7/29/2010,36.32
7/30/2010,36.88
8/2/2010,37.49
8/3/2010,38
8/4/2010,38.29
8/5/2010,38.26
8/6/2010,38.32
8/9/2010,38.65
8/10/2010,38.39
8/11/2010,38.7
8/12/2010,38.14
8/13/2010,39.45
8/16/2010,38.38
8/17/2010,38.52
8/18/2010,37.74
8/19/2010,36.77
8/20/2010,36.4
8/23/2010,36.13
8/24/2010,36.36
8/25/2010,36.02
8/26/2010,36.37
8/27/2010,37.08
8/30/2010,36.83
8/31/2010,36.36
9/1/2010,36.6
9/2/2010,36.66
9/3/2010,37.32
9/6/2010,37.32
9/7/2010,38.26
9/8/2010,38.09
9/9/2010,38.07
9/10/2010,38.24
9/13/2010,38.3
9/14/2010,38.26
9/15/2010,38.64
9/16/2010,38.39
9/17/2010,38.94
9/20/2010,39.68
9/21/2010,39.45
9/22/2010,39.95
9/23/2010,40.59
9/24/2010,41.56
9/27/2010,41.73
9/28/2010,41.71
9/29/2010,41.21
9/30/2010,41.85
10/1/2010,40.64
10/4/2010,40.18
10/5/2010,40.62
10/6/2010,40.83
10/7/2010,41.17
10/8/2010,43.67
10/11/2010,43.4
10/12/2010,44
10/13/2010,44.58
10/14/2010,45.02
10/15/2010,44.77
10/18/2010,44.66
10/19/2010,44.1
10/20/2010,45.47
10/21/2010,45.12
10/22/2010,45.05
10/25/2010,46.22
10/26/2010,46.28
10/27/2010,46.3
10/28/2010,46.45
10/29/2010,46
11/1/2010,46.45
11/2/2010,46.33
11/3/2010,46.55
11/4/2010,47.9
11/5/2010,48.87
11/8/2010,48.66
11/9/2010,50.05
11/10/2010,50.6
11/11/2010,51.68
11/12/2010,49.18
11/15/2010,49.12
11/16/2010,46.62
11/17/2010,45.54
11/18/2010,47.52
11/19/2010,45.56
11/22/2010,45.78
11/23/2010,45.82
11/24/2010,46.74
11/26/2010,46.74
11/29/2010,46.37
11/30/2010,47.15
12/1/2010,49
12/2/2010,49.22
12/3/2010,49.83
12/6/2010,49.88
12/7/2010,50.14
12/8/2010,50.81
12/9/2010,50.78
12/10/2010,50.79
12/13/2010,52.08
12/14/2010,51.72
12/15/2010,50.93
12/16/2010,50.8
12/17/2010,50.86
12/20/2010,51.71
12/21/2010,52.29
12/22/2010,52.8
