Date,Corn Price,Wheat Price,Soybean Price,Cotton Price,Live Cattle,Soy Oil,Crush Margin,Soybean meal
1/4/10,418.5,557.75,1049.5,76,85.375,37.73,#N/A,#N/A
1/5/10,418.75,553,1052.25,73.12,86.325,37.54,#N/A,#N/A
1/6/10,421.75,567.25,1050.5,73.55,85.95,37.7,#N/A,#N/A
1/7/10,417.5,557.75,1017.75,72.89,85.925,36.62,0.99,326.5
1/8/10,423,568.5,1013,72.44,85.825,36.49,#N/A,#N/A
1/11/10,422.5,572.5,1001.75,74.24,85.05,36.18,#N/A,#N/A
1/12/10,392.5,535.75,969.5,72.79,85.45,35.26,#N/A,#N/A
1/13/10,384,537,983.5,73.43,85.7,35.64,#N/A,#N/A
1/14/10,381,527.75,968.5,72.91,86.65,35.28,0.91,311.4
1/15/10,371.5,510,974,72.08,87.35,34.28,#N/A,#N/A
1/19/10,369.25,500.5,963.5,71.64,87.9,33.9,#N/A,#N/A
1/20/10,368,497.5,950,70.8,87.45,33.32,#N/A,#N/A
1/21/10,372,499.5,954,71.85,86.85,33.75,0.93,308
1/22/10,364.75,498.5,951.5,71.07,86.625,33.46,#N/A,#N/A
1/25/10,367.75,498.25,940.5,69.96,86.2,33.25,#N/A,#N/A
1/26/10,362.25,494,947.5,69.82,85.525,33.52,#N/A,#N/A
1/27/10,358.25,483.75,929,69.23,85.375,33.07,#N/A,#N/A
1/28/10,361.75,487,931.75,69.14,85.65,32.9,#N/A,#N/A
1/29/10,356.5,474,914,69.03,85.8,32.9,#N/A,#N/A
2/1/10,359,474.75,909.75,68.22,85.25,32.94,#N/A,#N/A
2/2/10,365,487.25,925.5,69.26,86.225,34.22,#N/A,#N/A
2/3/10,353,469,908,69.82,86.45,33.4,#N/A,#N/A
2/4/10,354,475.75,914,68.99,86.55,33.71,0.92,292.2
2/5/10,351.5,473.25,913.5,66.62,87.425,33.5,#N/A,#N/A
2/8/10,356,484,929.5,69.16,87.675,34.45,#N/A,#N/A
2/9/10,358.5,482.25,924.5,72.16,88.75,34.88,#N/A,#N/A
2/10/10,361.75,496.75,937.5,72.82,88.825,34.77,#N/A,#N/A
