Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BARLEY,"BARLEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"753,314,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,BEANS,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,005,619,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CANOLA,"CANOLA - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"602,504,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CHICKPEAS,"CHICKPEAS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"83,210,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"61,039,005,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,COTTON,"COTTON - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,677,566,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,FLAXSEED,"FLAXSEED - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"56,487,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HAY & HAYLAGE,"HAY & HAYLAGE - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"19,652,802,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,HOPS,"HOPS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"619,424,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,LENTILS,"LENTILS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"129,220,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MILLET,"MILLET, PROSO - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"91,120,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MINT,"MINT, PEPPERMINT, OIL - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"94,360,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSTARD,"MUSTARD - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"22,161,000",
SURVEY,2020,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,OATS,"OATS - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,"186,241,000",
